skill	Id	charclass	skilldesc	*comments	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Sharp Array	471	ama	sharparray	xbow mass clear		80												arrayofboltscenter				42375				20																																																			1	amazon_jab_1															36					arrayofboltscenter												1	8		rng		miss										A1	A1	A1					4	1		1									1			4					((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	45	20													1						1	6	72	3	1																																3	damage synergy	1								8	32														mag	6	3	6	9	12	12	12	3	6	9	12	12	(100+(skill('Fire Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Exploding Arrow'.blvl)+skill('Cold Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									100
Toxic Spike	472	ama	toxicspike												toxicspike																																																															necromancer_bone_cast		1																	toxicspike													1	3	1	rng		thro										SC	SC	xx																									((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40												25	1						1	7	14	1	1																														10	length synergy	4	damage synergy	1								5	64														pois	30	30	60	90	120	120	60	30	60	90	120	120	(skill('Jab'.blvl)+skill('Plague Javelin'.blvl))*par8	100	2	2	2					100
ama3	473	ama		do not remove - placeholder																																																																																																																																																																																																																																																												100
ama4	474	ama		do not remove - placeholder																																																																																																																																																																																																																																																												100
ama5	475	ama		do not remove - placeholder																																																																																																																																																																																																																																																												100
ama6	476	ama		do not remove - placeholder																																																																																																																																																																																																																																																												100
ama7	477	ama		do not remove - placeholder																																																																																																																																																																																																																																																												100
Molten BoulderGolem	478														moltenboulderemergegolem											par1+stat('item_druid_bolder'.accr)																																																				druid_firecast_b											druid_fire_cast_1								moltenboulderemergegolem													1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1		1	20								1					1						1	8	10	1	1										100+lvl*30+ulvl*5								10	Explosion Radius													6	fire/phys damage synergy	1								8	128	6	6	12	24	36	48	12	6	12	24	36	48	stat('energy'.accr)	fire	6	6	12	24	36	48	12	6	12	24	36	48	stat('energy'.accr)									100
FirestormGolem	479					117												firestormmakergolem																																																												druid_firecast_b											druid_fire_cast_1				67					firestormmakergolem												1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1		1	20								1					1						1	7	26	1	1										5+stat('energy'.accr)/500	# missiles							5	Number of missiles	0	Number of missiles per level	0	?	0	?	0	?	0	?			5	damage synergy	1								4															fire	14	14	18	23	43	43	27	14	18	23	45	45	stat('energy'.accr)									100
Fireballs	480	sor	fireballs	Branching Blaze											fireballs							42371				par3																																																				sorceress_cast_fire											fire_cast_2								fireballs													1	5		none												SC	SC	SC																	1						sorceress_cast_fire		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						1	7	10	1	1										"(ln1(2+skill('Fire Ball'.blvl))+min(30,ln1(2+skill('Fire Ball'.blvl))))/2"	num targets							2	lightning spells from target	1	extra spells/level	30	Target search radius									6	damage synergy	1								8															fire	12	12	16	20	24	24	24	12	16	20	24	24	(skill('Fire Bolt'.blvl)+skill('Meteor'.blvl)+skill('Nova'.blvl))*par8									100
Firebolts	481	sor	firebolts	Burning Seekers		8												firebolts																																																												sorceress_cast_fire											fire_cast_1				17					firebolts	firebolts											1	1		none												SC	SC	SC																	1						sorceress_cast_fire		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						1	6	10	1	1										1+(blvl+skill('Fire Bolt'.blvl))/6	# missiles	0	activation frame					1	number of missiles	0	additional missiles/level	0	Acivation frame of teeth									7	damage synergy	1								7															fire	11	11	22	33	44	44	22	11	22	33	44	44	(skill('Fire Ball'.blvl)+skill('Meteor'.blvl)+skill('Nova'.blvl))*par8									100
sor2	482	sor		do not remove - placeholder																																																																																																																																																																																																																																																												100
sor3	483	sor		do not remove - placeholder																																																																																																																																																																																																																																																												100
sor4	484	sor		do not remove - placeholder																																																																																																																																																																																																																																																												100
sor5	485	sor		do not remove - placeholder																																																																																																																																																																																																																																																												100
sor6	486	sor		do not remove - placeholder																																																																																																																																																																																																																																																												100
sorc7	487	sor		do not remove - placeholder																																																																																																																																																																																																																																																												100
Frozen SpearOLD	488			old one, doesnt work!											bonespear																																																															necromancer_bone_cast														19					bonespear			bonecast										1	6		none												SC	SC	xx																	1						necromancer_bone_cast		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	12	35					Bone Armor								1						1	6	28	1	1																																6	damage synergy	1								8															cold	11	11	22	33	44	44	22	11	22	33	44	44	(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Blessed Bones'.blvl)+skill('Bone Spirit'.blvl)+skill('Hells Gate'.blvl))*par8	50	10	10	10					100
WolfAoeX	489														wolfaoemiss																																																																																		wolfaoemiss													1	9		none												A1	A1	A1																	1									1	20																			0	6	0	0	1												0																				7	damage synergy	1								8	128	12	10	10	19	19	22	12	10	10	19	19	22	15*(lvl+skill('Summon Fenris'.lvl))																							100
Slackness	490	nec	slackness	Devil's Hand		28												slackeffect	slackeffect	slackeffect		73731		slackeffect	50		item_slow	-(10+lvl*2)																																																		handofdemon															28					slackgraphical												1	3		none												SC	SC	xx					4				1								1						handofdemon		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	10	20																			1	7	76	4	1																																8	damage synergy	1								8															cold	11	11	22	33	44	44	22	11	22	33	44	44	(skill('Decrepify'.blvl)+skill('Bone Spear'.blvl)+skill('Lower Resist'.blvl))*par8	50								100
DevastatorItem	491	nec			3	4									devasshatter																																																														1	sorceress_thunder_bolt											ice_cast_3			3	83				devasshatter													1	8		none												A2	A2	xx				1		1						1					1						sorceress_thunder_bolt		((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	10	20													1						1	7	70	2	1																		0	stun length	0	stun length per level											10	damage synergy	1								8															cold	30	19	20	21	23	25	40	19	20	21	23	25	(skill('Raise Skeletal Mage'.blvl)+skill('Raise Skeleton'.blvl)+skill('Bone Spear'.blvl))*par8	25								100
Essense ShiftItem	492	nec		teleport defensive		27									essensenova							278530		eshiftdebuff	50		item_tohit_percent	-(lvl*5)	item_deadlystrike	-25																																															1	eshift_cast											shadow_cast								essensenova											1		1	0		none												SC	SC	xx																	1		1	2			eshift_cast	shadow_cast	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	10	20												100							1	7	60	1	1	1																																	1								8																																					100
Grim Triangle	493	nec	necrotriangle	dagger spell		18									boldnewfortstarter								magictowerstate		1	10																																																				diablo_boneprison_rise											shadow_cast								boldnewfortstarter													1	2		none		knif				tkni						A2	A2	S2																	1							shadow_cast	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	30	20												50							1	7	40	2	1										1																						6	damage synergy	1								8	64														mag	4	4	7	11	14	14	6	4	4	7	11	14	(100+(skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl)+skill('Hells Gate'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									100
Stars of Death	494	nec	deathstars	dagger melee	6	11												deathstarsmiss	deathstarsmiss	deathstarsmiss																																																														weapon_1hs_small_6											19					deathstarsmiss	deathstarsmiss	deathstarsmiss										1	9		h2h		knif	npol			tkni						A1	A1	A2				1		1	1								1		1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						1	6	20	1	1										1	num targets							6	Number of missiles	2	Levels per missile											9	damage synergy	1								4															pois	9	9	15	22	28	36	12	9	15	22	33	40	(skill('Bone Armor'.blvl)+skill('Poison Explosion'.blvl)+skill('Poison Nova'.blvl))*par8	25								100
nec5	495	nec		do not remove - placeholder																																																																																																																																																																																																																																																												100
nec6	496	nec		do not remove - placeholder																																																																																																																																																																																																																																																												100
SkelAoe	497					22												skelaoerdealer	skelaoerdealer	skelaoerdealer																																																																									25					skelaoerdealer												1	9		none												A1	A1	A1																	1									1	20																			0	6	0	0	1												0						24														7	damage synergy	1								8	128	15	14	14	25	33	35	15	14	14	25	33	35	skill('Skeleton Mastery'.lvl)*10+stat('passive_summ_mastery'.accr)+skill('Raise Skeleton'.lvl)*35																							100
WeaponSplash	498														splashaoemiss																																																																																		splashaoemiss													1	9		none												A1	A1	A1																	1									1	20																			0	6	0	0	1												0																				7	damage synergy	1								8	128																																				100
pal7	499	pal		do not remove - placeholder																																																																																																																																																																																																																																																												100
Sacred Storm	500	pal	sacredstorm	Fury of the Heavens		28												sacredstormcenter	sacredstormcenter	sacredstormcenter						15+lvl																																																					quest_hellforge_flash_1														28					sacredstormcenter												1	4		none												SC	SC	xx					4				1								1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						0	6	10	5	1										3+((skill('Holy Bolt'.blvl)+skill('Sacred Storm'.blvl))/par7)	number of targets											9	synergy							5	levels per extra missile	5	damage synergy	1								5															mag	11	11	22	44	88	88	22	11	22	44	88	88	(100+(skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl)+skill('Sanctuary'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									100
Gale Bearer	501	pal	galebearer	lightning mele main	6	11												galebearmain	galebearmain	galebearmain																																																										paladin_zeal															19					galebearmain	galebearmain	galebearmain										1	8		h2h		mele										A1	A1	A1				1		1	1								1		1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						1	6	18	3	1										1	missiles?																					5	damage synergy	1								8	64														ltng	7	4	8	8	14	14	12	4	8	8	14	14	(skill('Resist Lightning'.blvl)+skill('Vengeance'.blvl)+skill('Holy Shock'.blvl))*par8									100
Icy Pest	502	pal	icypest	cold plague	57	121												icypestgo						pested																																																																																						1	7		h2h		mele										A1	A1	A1				1		1	1								1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40								1					1						1	7	12	1	1																																7	damage synergy	1	100	15		1	2			7															cold	9	5	9	14	18	18	14	5	9	14	18	18	(skill('Resist Cold'.blvl)+skill('Vengeance'.blvl)+skill('Holy Freeze'.blvl))*par8	50								100
Shards of Hellfire	503	pal	shahell	melee homing fire main	6	11												shardhellspawner	shardhellspawner	shardhellspawner						par1																																																																			19					shardhellspawner	shardhellspawner	shardhellspawner										1	5		h2h		mele										A1	A1	xx				1		1	1								1		1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						1	6	24	2	1										1	missile							7	target seek range													5	damage synergy	1								8	64														fire	5	3	6	6	11	11	9	3	6	6	11	11	(skill('Resist Fire'.blvl)+skill('Vengeance'.blvl)+skill('Holy Fire'.blvl))*par8									100
Rude Offense	504	pal	rudeoffense	teleport pal		27									rudeoffnova																																																														1	incure_cast											warcry								rudeoffnova											1		1	7		none												SC	SC	xx																	1		1	2			incure_cast	mooncast	((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	30	30					Might	Concentration						(stat('item_pala_tele'.accr) < 1) ? (75-(skill('Rude Offense'.blvl)) : ((75-(skill('Rude Offense'.blvl))-(stat('mana'.accr)/25600))	1						1	7	18	2	1	1																	25		4												4	damage synergy	1								8															mag	12	7	12	18	23	23	18	7	12	18	23	23	(100+(skill('Blessed Hammer'.blvl)+skill('Holy Shield'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									100
Shield Throw	505	pal	shieldthrow	50% magic		8												shieldmissdealer																																																																											17					shieldmissdealer	shieldmissdealer	magiccastblue										1	7		none		shld										TH	TH	xx				1													1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35													1						1	6	8	1	1										1+(blvl/10)+(lvl/20)	num targets	0																				6	damage synergy	1								8	128														mag	2	2	4	6	8	8	4	2	4	6	8	8	(100+(skill('Smite'.blvl)+skill('Holy Shield'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									100
Sculptor of Suns	506	pal	sculptor	lightning aoe	6	11												sunmaker	sunmaker	sunmaker																																																																									19					sunmaker	sunmaker	sunmaker										1	8		h2h		swor	mace	hamm								A1	A1	A1				1		1	1								1		1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						1	6	12	2	1										1	missiles?																	1				3	damage synergy	1								6	64														ltng	25	11	22	44	88	88	50	11	22	44	88	88	(skill('Resist Lightning'.blvl)+skill('Vengeance'.blvl)+skill('Holy Shock'.blvl))*par8									100
bar7	507	bar		do not remove - placeholder																																																																																																																																																																																																																																																												100
ass7	508	ass		do not remove - placeholder																																																																																																																																																																																																																																																												100
Monster skills section	509																																																																																																																																																																																																																																																															100
Magic ArrowMon	510					8												magicarrowmon																																																																										19	17					magicarrowmon	magicarrowmon	magiccastblue										1	9		rng												A1	A1	A1				1													1									1	20								1					1						0	8	0	0	1										1		0																				7	damage synergy	1								8	128														mag	2	4	11	11	11	13	4	2	12	12	12	15										100
Earth SpikesMon	511			fire spell		28												erruption centermon																																																												druid_firecast_a															28					erruption centermon												1	6		none												A1	A1	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2		1	20												25							0	8	0	0	1										2+blvl/4	radius	5	frequency						radius		Missile delay	0	Change duration in Missiles.xls			15	slow effect min	50	slow effect max			6	damage synergy	1								8	32														fire	9	9	15	15	24	27	21	9	15	21	24	27										100
Glacial SpikeMon	512														glacialspike										7	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold			1	20													1						0	8	0	0	1																		4	radius	0	radius per level	50	freeze frames	3	freeze frames per level					3	freeze synergy	6	damage synergy	1								8															cold	9	9	12	15	18	18	18	9	12	15	18	18										100
Iron MagicMon	513			mag dmg with 1/2 weap	6	11												ironmagspawner	ironmagspawner	ironmagspawner																																																																									19					ironmagspawner	ironmagspawner	ironmagspawner										1	5		h2h												A1	A1	A1				1		1	1								1		1									1	20								1					1						0	8	0	0	1										1	spawn shockwave ?																							1								8	64														mag	15	14	14	14	14	16	25	16	16	16	16	16	stat('passive_mag_mastery'.accr)*1									100
Iron Magic Phys	514				6	11												ironmagspawner	ironmagspawner	ironmagspawner																																																											assassin_kick_1	1													19					ironmagspawner	ironmagspawner	ironmagspawner										1	5		h2h		h2h										A1	A1	A1				1		1	1								1											1	20								1					1						0	8	0	0	1										1	spawn shockwave ?																							1								8		15	14	14	14	14	16	25	16	16	16	16	16																								100
Iron Magic Mag	515				6	11												ironmagspawner	ironmagspawner	ironmagspawner																																																											assassin_kick_1	1													19					ironmagspawner	ironmagspawner	ironmagspawner										1	5		h2h		h2h										A1	A1	A1				1		1	1								1											1	20								1					1						0	8	0	0	1										1	spawn shockwave ?																							1								8															mag	15	14	14	14	14	16	25	16	16	16	16	16										100
Oppression	516			corpse dps, used by clay golem	17	63												oppressmiss				98304		openwounds	50+lvl*2	ln34	hpregen	(-1)*(stat('hitpoints'.accr)/256)																																																	1	necromancer_corpse_cast								necromancer_corpseexp_1						21	33					oppressmiss		redlightmissile										1	9		none												SC	SC	A1								1		1	1						1			3		1	necromancer_corpse_cast			1	20								1					1						0	8	0	0	1																						7		1										1								8	128	5	9	14	18	36	72	9	12	16	18	36	72	stat('energy'.accr)																				5	15		100
RabiesMon	517				57	121												rabiesplague						rabies																																																																																						1	0		h2h												A1	A1	A1				1		1	1								1											1	20								1					1						0	8	0	0	1																														7	damage synergy	7	damage synergy	1	50	7		1	2			3															pois	12	6	12	18	24	24	18	6	12	18	24	24		75								100
LowerDecrepify	518			nerfed version		30																3		decrepify	175	6	velocitypercent	par5	attackrate	-20	damagepercent	-20	damageresist	-20	item_fastercastrate	-20																																										necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	SC					4												1						necromancer_curse_cast			1	20								1											0	8	0	0	1																		6	radius	1	radius per level	100	duration	15	additional duration/level	-40	"% slowed, -dam, -dam"	60	% additional damage taken	1	radius synergy	25	duration synergy	1								8																																					100
TeethMon	519					8												monteeth																																																												necromancer_bone_cast														19	17					monteeth	monteeth	bonecast										1	1		none												SC	SC	xx																	1						necromancer_bone_cast			1	20												20	1						0	8	0	0	1										"min(3+blvl/5,10)"	# missiles	par3	activation frame					30	number of missiles	1	additional missiles/level	0	Acivation frame of teeth									5	damage synergy	1								8															mag	7	7	7	9	11	11	11	5	7	9	11	11										100
Abyss ArrowMon	520					8												blazingarrow																																																																										19	17					blazingarrow	blazingarrow	firecastred										1	9		rng												A1	A1	A1																	1									1	20								1				75	1						0	8	0	0	1										1	# missiles	0																					damage synergy	1								4															mag	3	4	8	10	13	17	6	6	10	13	17	18										100
Rotting StrikeMon	521			melee debuffing	6	11												rottingcenter	rottingcenter	rottingcenter		278530		rottingmiss	75		item_tohit_percent	(-1)*min(30+lvl*4,150)																																																				1																														1	9		h2h												A1	A1	A1				1		1	1								1		1									1	20								1					1						0	8	0	0	1										1	spawn shockwave ?																							1								8	128														pois	6	9	13	18	26	38	8	12	16	21	32	46		1								100
Double TroubleMon	522			2 novas buff		124												doubletroubled	doubletroubled	doubletroubled			doubledtroubledkekw		5500+lvl*500+stat('buffdebuffduration'.accr)*25	4	fireresist	10+blvl	magicresist	5+blvl																																																necromancer_curse_cast																92					doubletroubled			25		25		15				1	6		none												SC	SC	xx																	1									1	20								1					1						0	8	0	0	1	1									1														100	delay between attacks									1								8															mag	8	4	8	12	16	16	16	4	8	12	16	16										100
Charged StrikeMon	523				6	11												chargedstrikeboltmon	chargedstrikeboltmon	chargedstrikeboltmon																																																																									19					chargedstrikeboltmon	chargedstrikeboltmon	chargedstrikeboltmon										1	5		h2h												A1	A1	A1				1		1	1								1											1	20													1						0	8	0	0	1										3+blvl/7	# bolts							3	Bolts to send out	5	Additional bolts per N levels											5	damage synergy	1								8															ltng	11	11	14	18	21	21	21	11	14	18	21	21										100
Bone SpearMon	524														bonespearmon																																																															necromancer_bone_cast														19					bonespearmon			bonecast										1	6		none												SC	SC	xx																	1						necromancer_bone_cast			1	20													1						0	8	0	0	1																																6	damage synergy	1								8															mag	5	5	10	14	19	19	10	5	10	14	19	19										100
Bone SpiritMon	525					10												bonespiritmon	bonespiritmon																																																											necromancer_bone_cast															18					bonespiritmon												1	7		none												SC	SC	SC																	1			4			necromancer_bone_cast			1	20													1						0	8	0	0	1										0	dmg%																					5	damage synergy	1								8															mag	5	5	7	9	10	10	10	5	7	9	10	10										100
Earth SpikesMonPhys	526			phys spell		28												erruption centermon2																																																												necromancer_bone_cast															28					erruption centermon2												1	6		none												A1	A1	xx				1	4				1								1						necromancer_bone_cast			1	20												25							0	8	0	0	1										2+blvl/4	radius	5	frequency						radius		Missile delay	0	Change duration in Missiles.xls			15	slow effect min	50	slow effect max			6	damage synergy	1								8	32	9	9	15	15	24	27	21	9	15	21	24	27																								100
Gale BearerMon	527			light dmg	6	11												galebearmainmon	galebearmainmon	galebearmainmon																																																										paladin_zeal															19					galebearmainmon	galebearmainmon	galebearmainmon										1	8		h2h												A1	A1	A1				1		1	1								1		1									1	20													1						0	8	0	0	1										1	missiles?																					5	damage synergy	1								8	64														ltng	7	4	8	8	14	14	12	4	8	8	14	14										100
Charged BoltMon	528			capped at 6		17												chargedboltmon	chargedboltmon	chargedboltmon																																																										sorceress_cast_lightning											light_cast_1				23					chargedboltmon												1	1		none												SC	SC	xx																	1						sorceress_cast_lightning			1	20													1						0	8	0	0	1										"min(3+blvl/7,4)"	# bolts							6	Bolts to send out (1/2)	1	Additional bolts per level (1/2)											7	damage synergy	1								8															ltng	8	4	8	12	16	16	16	4	8	12	16	16										100
Ardent SteelMon	529			melee multihitting fire	6	11												ardentsteelcenter	ardentsteelcenter	ardentsteelcenter																																																													1												19					ardentsteelcenter	ardentsteelcenter	ardentsteelcenter										1	5		h2h												A1	A1	A1				1		1	1								1		1									1	20								1					1						0	8	0	0	1										1	missile																							1								8	64														fire	3	2	4	7	9	9	6	2	4	7	9	11										100
CometFall	530			3x meteors		28												cometfallmaker	cometfallmaker	cometfallmaker						ln12																																																				sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					cometfallmaker												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2		1	20																			0	8	0	0	1										6	radius							6	radius of explosion	0	radius per level	30	Frames of fire	15	Frames of fire per level							6	damage synergy	1								8		7	7	13	20	26	26	13	7	13	20	26	26		fire	7	7	11	12	13	16	13	7	10	11	12	14										100
Shards of HellfireMon	531			melee homing fire	6	11												shardhellspawnermon	shardhellspawnermon	shardhellspawnermon						par1																																																																			19					shardhellspawnermon	shardhellspawnermon	shardhellspawnermon										1	5		h2h												A1	A1	xx				1		1	1								1		1									1	20													1						0	8	0	0	1										1	missile							7	target seek range													5	damage synergy	1								8	64														fire	4	2	5	5	8	8	7	2	5	5	8	8										100
AbyssStorm	532			magic dmg		117												abyssstormmaker																																																												incure_cast											mooncast				67					abyssstormmaker												1	0		none												SC	SC	xx				1													1						incure_cast	mooncast		1	20								1					1						0	8	0	0	1										7	# missiles							5	Number of missiles	0	Number of missiles per level	0	?	0	?	0	?	0	?			5	damage synergy	1								4															mag	5	5	6	8	9	9	9	5	6	8	9	9										100
Temporary Merc SKill Section	533																																																																																																																																																																																																																																																															100
NeedlingMerc	534			off merc 3d skill		28												needlearrow	needlearrow	needlearrow																																																										spawntrapsound															28					needlearrow												1	9		none		miss										A1	A1	A1				1					1								1						spawntrapsound			18	20								1					1						0	8	0	0	1																		0	lock length															1								8	32														mag	1	3	5	5	6	8	2	5	5	5	6	8	stat('energy'.accr)/3+stat('magicskill'.accr)*20+stat('passive_mag_mastery'.accr)*1									100
Multiple ShotMerc	535			off merc 1t skill	4	8												multipleshotarrowmerc	multipleshotboltmerc																																																																									11	17					multipleshotarrowmerc	multipleshotboltmerc											1	9		rng		miss										A1	A1	A1				1													1									1	20								1					1		1				0	6	0	0	1										3+blvl/2	# missiles	par3	activation frame	2+blvl/6	triggered			4	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.											1								8	96	2	2	2	2	2	2	4	4	4	4	4	4																								100
Blessed AimMerc	536			off merc aura		65																73731	blessedaim	blessedaim		20	item_deadlystrike	min(5+blvl,25)	item_tohit_percent	min(25+lvl*7,350)																																																																															1	1	0		none														A1																										1	20								1											0	8	0	0	1	1	1		50														16	radius	2	additional radius per level													1								8																																					100
DodgeMerc	537			passive avoid act1 merc																																											dodge		passive_dodge	min(10+stat('dexterity'.accr)/10,40)	passive_avoid	min(10+stat('dexterity'.accr)/10,40)	passive_evade	min(10+stat('dexterity'.accr)/10,40)	skill_pierce	50	energy	30+ulvl																					amazon_dodge_1																															1	0		rng		miss										S1	S1	xx																										1	20								1					1						0	8	0	0	1						1												1	min % dodge	25	max % dodge											0	dodge synergy	1								8																																					100
EvisceratingMerc	538			off merc uber											corpsetargetmmerc											15																																																			1	amazon_dodge_1											siege_beast_dust								corpsetargetmmerc													1	9		none		miss										A1	A1	A1					4			1									1									45	20								1					1						0	8	0	0	1																																		1								8	192																																				100
Freezing ArrowMerc	539			def merc 1t skill	4	8												freezingarrowmerc																																																																										19	17					freezingarrowmerc	freezingarrowmerc	magiccastblue										1	7		rng		miss										A1	A1	A1				1																						1	20								1					1		1				0	7	0	0	1										1	num targets	0						4	Radius of impact											5	length synergy	4	damage synergy	1								8	128														cold	8	8	10	13	15	15	11	8	10	13	15	15	stat('energy'.accr)/3	25								100
Ice SHockMerc	540			def merc aura	4										bearboltmerc							42883	iceshocked			1																																																																							bearboltmerc													1	0		none														xx								1																		1	20								1											0	7	0	0	1	1	1		200-blvl*3														5	radius	1	additional radius per level	15	% damage to undead	15	% damage per level	25	att vs. undead	25	att vs. undead per level	5	melee damage synergy	8	magic damage synergy	1				11		157		8															cold	1						1							37	2	2	2					100
Merc BallMissiles	541			def merc 3d skill	4	139									baal cold makermerc2			baal cold makermerc																																																												baal_coldtrailcast														11	81				baal cold makermerc2	baal cold makermerc												1	9		rng		miss										A1	A1	A1				1																						18	20								1															1																																		1								7	128														cold	5	5	6	7	7	7	4	5	6	7	7	7	stat('energy'.accr)/3	12								100
