index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Palashia's Defense	0	1		1	1	41	33	xtu	Tresllised Armor	2		10	30000								tinkerflag2		25	35	ama		1	2	ass		1	2	ac%		160	220	ac-miss		250	250	light		1	3	swing2		20	20	balance2		20	20	res-all		20	20	skill	Evade	1	3	skill	Weapon Block	1	3	gethit-skill	Mind Blast	11	12	0
Robe of the Phoenix	0	1		1	1	43	35	xng	Linked Mail	2		10	30000								tinkerflag2		25	35	fireskill		2	2	res-fire		50	50	res-ltng		50	50	regen		15	30	red-dmg%		10	10	dmg-fire		10	25	dmg-fire/lvl	40			gethit-skill	Nova	30	8	hp/lvl	12			light		5	5	ac%/lvl	12			0
Ancient Guardian	0	1		1	1	45	37	xcl	Tigulated Mail	2		10	30000								tinkerflag2		25	35	res-all-max		10	10	res-all		35	60	mana%		15	30	ac-miss		150	250	ac%/lvl	24			indestruct		1	1																					0
Armor of the Wind	0	1		1	1	46	38	xhn	Mesh Armor	2		10	30000								tinkerflag2		25	35	ama		1	2	dru		1	2	vit		20	30	dex		20	30	knock		1	1	sock		2	2	oskill	Slow Missiles	1	3	oskill	Tornado	1	3	move2		20	20	ac-miss		255	255					0
Scarab Demon Carapace	0	1		1	1	49	41	xrs	Cuirass	2		10	30000								tinkerflag2		25	35	ac%		70	110	red-dmg		10	20	res-ltng		10	25	res-ltng/lvl	6			dmg-ltng/lvl	40			thorns/lvl	40			move3		20	20	extra-ltng		10	10	skilltab	2	1	3	skilltab	4	1	3	skilltab	18	1	3	0
Wisdom's Wrap	0	1		1	1	57	50	xrb	Mage Robe	2		11	35000								tinkerflag2		25	35	allskills		1	1	sor		1	2	skill-rand	3	36	65	ac%		100	150	red-dmg		8	8	red-mag		8	8	res-ltng-max		10	10	res-ltng		75	75	res-mag		15	15	mana%		30	30	enr		15	15	0
Mountain's Skin	0	1		1	1	50	42	xpl	Russet Armor	2		11	35000								tinkerflag2		25	35	ac%		120	170	red-dmg		5	10	res-pois-max		10	10	res-cold-max		10	10	res-pois		30	30	res-cold		30	30	str		15	15	skilltab	14	1	3	oskill	Iron Skin	1	4									0
Arkaine's Valor	0	1		1	1	53	45	xlt	Templar Coat	2		11	35000								tinkerflag2		25	35	ac%		150	200	hp%		10	20	red-dmg		8	12	balance3		30	30	vit/lvl	4			allskills		2	2																					0
Armor of the Deep	0	1		1	1	56	48	xld	Sharktooth Armor	2		11	35000								tinkerflag2		25	35	ac%		140	180	openwounds		33	33	regen		10	20	hp		50	50	stupidity		2	2	light		-2	-2	manasteal		7	12	gethit-skill	Frozen Armor	40	5	res-cold		40	60	sock		2	2					0
Piotyr's Plate	0	1		1	1	59	51	xth	Embossed Plate	2		11	35000								tinkerflag2		25	35	ac%		60	100	res-all		10	30	ease		-25	-25	red-dmg		5	10	red-mag		5	10	mag%/lvl	10			gold%/lvl	10			hp		25	75	mana		25	75									0
Templar Protector	0	1		1	1	59	51	xtp	Mage Plate	2		11	35000								tinkerflag2		25	35	ac%		90	110	allskills		3	3	mana		50	50	ease		-40	-40	light		-3	-3	mana/lvl	8																							0
The Iron Maiden	0	1		1	1	55	49	xhh	Thorned Armor	2		11	35000								tinkerflag2		25	35	thorns/lvl	80			crush/lvl	8			deadly/lvl	6			openwounds		100	100	hp		50	200	gethit-skill	Iron Maiden	39	10	thorns		100	200																	0
Armor of the Dragon Mage	0	1		1	1	61	53	xul	Chaos Armor	2		12	40000								tinkerflag2		25	35	ease		-90	-90	res-fire-max		15	15	res-ltng-max		15	15	res-fire		50	100	res-ltng		50	100	move1		10	30	gethit-skill	Static Field	50	10	gethit-skill	Nova	50	10	cast1		20	20	mana/lvl	8							0
Drizzt's Mithril	0	1		1	1	60	50	xlv	Drow Adamantite Chain	2		12	40000								tinkerflag2		25	35	ac%		150	200	dex		10	15	res-all		10	15	swing2		10	15	move1		10	15	allskills		2	2	sock		2	2																	0
Demonspike Coat	0	1		1	1	63	55	xar	Ornate Armor	2		12	40000								tinkerflag2		25	35	ac%		160	210	res-fire/lvl	8			ease		-12	-12	str		20	20	red-dmg		5	9	abs-fire/lvl	2			dmg-fire		100	300	allskills		1	1	hp/lvl	8											0
Lothar's Cape	0	1		1	1	80	76	ylk	Enchanted Cloak	3		13	45000								tinkerflag2		25	35	ac%		100	150	res-all		30	45	oskill	Shade Armor	3	3	allskills		1	2	dmg-elem		300	300	extra-fire		15	30	extra-ltng		15	30	extra-cold		15	30	skilltab	19	3	3									0
Nightscape	0	1		1	1	69	60	yui	Padded Armor	3		12	40000								tinkerflag2		25	35	skilltab	19	3	3	balance3		30	30	ac%/lvl	12			dex		15	25	str		15	25	res-all		20	40	allskills		1	1	move2		15	15	swing2		15	15	res-all-max		5	10	oskill	Cloak of Shadows	3	3	0
Cottonmouth Jacket	0	1		1	1	78	63	yea	Viper Skin	3		13	45000								tinkerflag2		25	35	ac%		150	200	res-pois/lvl	12			dmg-pois	100	616	820	ease		-50	-50	dmg-pois/lvl	48			gethit-skill	Poison Nova	40	18	res-pois-max		5	15	heal-kill		12	16	pierce-pois		20	30	oskill	Venom	1	1	oskill	Poison Nova	6	6	0
Hellrust	0	1		1	1	71	64	yla	Demon Carapace	3		13	45000								tinkerflag2		25	35	ac%		100	250	res-fire/lvl	4			res-ltng/lvl	4			res-cold/lvl	4			res-mag		25	25	dmg-mag/lvl	20			noheal		1	1	openwounds		60	60	att-skill	Bone Spirit	30	16	gethit-skill	Hells Gate	30	16	allskills		1	1	0
Brilliance	0	1		1	1	72	68	ytu	Gemstoned Armor	3		13	45000								tinkerflag2		25	35	ac%		200	250	stupidity		2	2	res-all		15	25	hp%		15	25	sock		3	3																									0
Chains of Binding	0	1		1	1	74	72	yng	Heavy Mail	3		13	45000								tinkerflag2		25	35	aura	Holy Freeze T	5	5	ac%		450	500	dmg-cold	750	100	200	regen		-10	-10	dmg-cold/lvl	16			sock		2	2																					0
Acero Frio	0	1		1	1	75	69	ycl	Dragon Scale	3		13	45000								tinkerflag2		25	35	ac%		300	400	str/lvl	3			res-cold/lvl	8			sock		3	3																													0
Vulcanguard	0	1		1	1	77	70	yhn	Chain Shirt	3		13	45000								tinkerflag2		25	35	ac%		125	175	res-fire		55	70	dmg-fire		50	50	knock		1	1	gethit-skill	Nova	50	18	dmg-fire/lvl	40			aura	Holy Fire T	17	17	extra-fire		20	45	hp		100	100	fireskill		1	1					0
Atlastrust	0	1		1	1	77	78	yrs	Chest Guard	3		13	45000								tinkerflag2		25	35	skilltab	9	3	3	skilltab	13	3	3	skilltab	1	3	3	dmg%		75	75	str		35	35	aura	Blessed Aim	5	8	skilltab	16	3	3	skilltab	20	3	3	ac%		200	240									0
Kaija's Gown	0	1		1	1	79	69	yrb	Archmage Robe	3		13	45000								tinkerflag2		25	35	sor		4	5	cast3		40	40	move3		40	40	mana		200	200	mag%		100	100	ac		1500	1800	red-mag		15	30																	0
Hellforge's Finest	0	1		1	1	84	71	ypl	Demon Fleece	3		13	45000								tinkerflag2		25	35	abs-fire%		25	25	fireskill		3	3	res-fire-max		10	20	res-fire/lvl	10			nofreeze		1	1	gethit-skill	Fire Ball	20	25	ac%		120	240	pierce-fire		20	30	oskill	FireGolem	7	12	oskill	Golem Mastery	1	4					0
Blanchwood Vest	0	1		1	1	75	71	ylt	Plated Cuirass	3		13	45000								tinkerflag2		25	35	ac%		130	180	thorns		80	120	red-dmg%		20	20	res-cold		30	50	res-ltng		30	50	res-pois		30	50	dru		2	2	oskill	Wearbear	10	10	oskill	Shape Shifting	10	10	oskill	Maul	10	10					0
Aakta's Defense	0	1		1	1	84	72	yld	Combat Plate	3		13	45000								tinkerflag2		25	35	ac		1350	1800	red-dmg		15	25	res-all		20	35	sock		2	2	red-mag		15	25	red-dmg%		10	10	oskill	Claw Mastery	2	4	deadly/lvl	3															0
Leoric's Plate	0	1		1	1	84	74	yth	Royal Armor	3		13	45000								tinkerflag2		25	35	ac%		110	180	res-all		30	40	res-all-max		5	12	dmg%		35	35	str		16	24	lifesteal		4	6	manasteal		4	6	ac		500	500	hit-skill	Amplify Damage	5	8									0
Robes of Power	0	1		1	1	84	75	ytp	Archmage Plate	3		13	45000								tinkerflag2		25	35	res-all		30	50	mana		60	60	block		15	15	allskills		3	3	addxp		3	5	hp		60	60	ac		900	1400																	0
Deflective Spikes	0	1		1	1	75	71	yhh	Spiked Armor	3		13	45000								tinkerflag2		25	35	abs-fire%		15	25	abs-cold%		15	25	abs-ltng%		15	25	thorns		800	800	red-dmg%		30	30	abs-mag%		15	25	thorns/lvl	64			red-dmg		30	30	regen		30	30									0
Izeal's Vise	0	1		1	1	79	75	yul	Ceremonial Armor	3		13	45000								tinkerflag2		25	35	ac		400	800	allskills		1	1	dmg-undead		200	300	ease		-30	-30	sock		2	2	aura	conviction	2	4																					0
Silvasa's Dress	0	1		1	1	82	77	ylv	Sylvan Chain	3		13	45000								tinkerflag2		25	35	hp%		50	50	mana%		50	50	ac%		50	100	res-all		20	40	light		5	5	mana-kill		12	16	ac		1000	1000	oskill	Teleport	1	1	heal-kill		12	16									0
The Guardian of Time	0	1		1	1	84	80	yar	Archaic Armor	3		13	45000								tinkerflag2		25	35	move3		30	30	swing3		30	30	regen		15	30	regen-mana		30	60	block3		30	30	balance3		30	30	cast3		30	30	allskills		2	2	ac%		90	170	gethit-skill	Time Stop	15	10					0
shld																																																																					0
Romanary Pelt	0	1		1	1	3	2	buc	Buckler	1		6	10000								tinkerflag2		25	35	cast3		20	30	str			20	dex			20	hp			20	mana			20	swing3		15	30	ac/lvl	4																			0
Stargate	0	1		1	1	12	9	sml	Small Shield	1		7	15000								tinkerflag2		25	35	ac		10	10	res-ltng		50	50	light-thorns		30	30	hp		10	20	regen		5	15	abs-mag%			15																					0
Mercenary's Brace	0	1		1	1	18	13	lrg	Large Shield	1		7	15000								tinkerflag2		25	35	red-dmg		3	6	res-fire		35	35	res-ltng		35	35	block		10	15	balance1		10	20	str/lvl	8			hp/lvl	16																			0
Spikes of Rajamir	0	1		1	1	20	15	spk	Spiked Shield	1		8	20000								tinkerflag2		25	35	thorns		20	80	block3		20	20	openwounds		33	99	res-all		30	30	thorns/lvl	48			gethit-skill	Life Tap	50	2	skill	Smite	3	6																	0
Raven's Shield	0	1		1	1	23	17	kit	Kite Shield	1		8	20000								tinkerflag2		25	35	allskills		1	1	ac-miss			100	regen-mana		10	20	light		3	3	block1		10	20	skill	Raven	2	5	mana		15	45	hp/lvl	12			res-all		20	20									0
Skullbear's Soul	0	1		1	1	27	20	bsh	Bone Shield	1		8	20000								tinkerflag2		25	35	block		20	20	res-pois		60	60	hp		15	30	dex		15	30	mana		15	30	regen-mana		20	40	regen		10	20	ac/lvl	2			res-fire		20	20	cast1		20	20					0
Stormwynd's Mania	0	1		1	1	26	19	tow	Tower Shield	1		8	20000								tinkerflag2		25	35	ac		20	60	allskills		1	1	str		20	30	block2		15	30	dmg-ac		-10	-10	ac/lvl	8			sock		2	2																	0
Phrozen Heart	0	1		1	1	38	28	fts	Fortress Shield	1		9	25000								tinkerflag2		25	35	res-cold		50	50	res-cold-max		10	10	nofreeze		1	1	dmg-cold	200	10	20	gethit-skill	Frost Nova	100	5	dmg-cold/lvl	16			res-fire		50	50	res-fire-max		10	10													0
Defender of Justice	0	1		1	1	35	26	gts	Gothic Shield	1		9	25000								tinkerflag2		25	35	ac		55	55	allskills		1	1	block		10	20	dex		25	30	block3		20	30	res-all		30	50	skilltab	11	1	3																	0
The Deflector	0	1		1	1	36	28	xuc	Defender	2		9	25000								tinkerflag2		25	35	ac%		100	200	block		25	25	block3		20	20	red-dmg		3	6	res-fire		40	40	res-ltng		40	40	res-cold		40	40	thorns/lvl	24															0
Karcheus' Ward	0	1		1	1	39	31	xml	Round Shield	2		9	25000								tinkerflag2		25	35	ac%		50	100	hp		30	30	mana		30	30	res-cold-max		20	20	res-cold		30	30	res-all		20	20	nofreeze		1	1	ac/lvl	6			gethit-skill	Ice Blast	20	18	dmg-cold	150	40	80	sock		1	1	0
The Face of the Sun	0	1		1	1	43	35	xrg	Scutum	2		10	30000								tinkerflag2		25	35	light		7	7	res-fire-max		20	20	res-fire		60	60	res-ltng		20	20	block		20	20	block3		20	30	stupidity		2	2	regen		10	15	gethit-skill	Fire Ball	20	18	ac/lvl	6							0
Spikewall	0	1		1	1	43	35	xpk	Barbed Shield	2		10	30000								tinkerflag2		25	35	deadly		15	30	crush		10	15	lifesteal		5	8	manasteal		5	8	thorns		100	200	thorns/lvl	16			dmg%		35	35	sock		2	2	charged	Spirit of Barbs	30	11									0
The Shield of Pain	0	1		1	1	46	38	xit	Dragon Shield	2		10	30000								tinkerflag2		25	35	red-dmg%		75	75	regen		-20	-20	ac/lvl	12			vit		-10	-10																													0
Tortured Souls	0	1		1	1	49	41	xsh	Grim Shield	2		10	30000								tinkerflag2		25	35	allskills		1	1	nec		0	1	regen		-5	-5	thorns		30	210	cast3		30	40	res-all		20	30	abs-mag%		10	10	sock		1	1	mana		20	30									0
Wall of the Ancient Oak	0	1		1	1	52	44	xow	Pavise	2		11	35000								tinkerflag2		25	35	balance3		30	30	manasteal		5	10	str		20	20	res-pois-max		20	20	res-pois		75	75	res-pois-len		75	75	red-dmg%		5	10	sock		2	2	ac%		70	120									0
Link's Mirror	0	1		1	1	58	54	xft	Reflection Shield	2		11	35000								tinkerflag2		25	35	balance3		20	20	block3		20	20	abs-fire%		5	10	abs-ltng%		5	10	abs-cold%		5	10	red-dmg%		10	15	block		20	20	ac-miss		250	250	thorns		50	150									0
Mithril Shield	0	1		1	1	58	50	xts	Ancient Shield	2		11	35000								tinkerflag2		25	35	ac%		50	150	red-dmg		3	9	block		50	50	ease		-50	-50	res-all		20	30	red-mag		4	8	move1		10	10																	0
Lady Raven's Power	0	1		1	1	80	64	yuc	Petrified Buckler	3		13	45000								tinkerflag2		25	35	mana		80	120	mana%		40	50	abs-cold%		15	15	abs-fire%		15	15	abs-ltng%		15	15	res-all		20	30	block		18	18	cast1		15	15	ac		120	200									0
Elzix's Treasure	0	1		1	1	69	58	yml	Desert Shield	3		12	40000								tinkerflag2		25	35	mag%		100	100	oskill	Find Potion	1	3	oskill	Find Item	1	3	block1		-20	-20	gold%		100	100																									0
Cyclop's Protector	0	1		1	1	71	62	yrg	Giant Buckler	3		13	45000								tinkerflag2		25	35	red-dmg%		15	15	block		30	30	oskill	Heart of Wolverine	3	7	str		10	25	sock		2	2	ac%		70	110																					0
The Seduction of Pain	0	1		1	1	79	66	ypk	Thorned Shield	3		13	45000								tinkerflag2		25	35	ac%		80	120	block1		30	30	pierce		25	25	lifesteal		6	10	manasteal		4	8	thorns/lvl	20			dmg/lvl	4			oskill	Claw Mastery	2	5	block		20	20	swing1		10	10					0
Dragon's Breach	0	1		1	1	73	70	yit	Military Shield	3		13	45000								tinkerflag2		25	35	dmg-fire		100	250	ac%		100	170	block		20	20	str		30	30	enr		15	15	res-fire/lvl	8			res-fire-max		15	15	skill	Holy Shield	3	6	skill	Smite	3	6	allskills		1	1	block1		25	25	0
Icon of Sin	0	1		1	1	79	68	ysh	Demon Shield	3		13	45000								tinkerflag2		25	35	ac%		50	100	allskills		1	1	red-dmg%		10	10	lifesteal		4	8	dmg-to-mana		30	30	mana-kill		6	10	res-pois		50	50	res-cold		50	50	regen-mana		25	50									0
The Barricade	0	1		1	1	81	72	yow	Royal Guard	3		13	45000								tinkerflag2		25	35	ac		100	220	res-all		35	50	block		20	20	oskill	Golem Mastery	3	3	oskill	Summon Resist	3	3	oskill	Clay Golem	15	15																					0
Guardian Angel	0	1		1	1	84	75	yft	Ceremonial Shield	3		13	45000								tinkerflag2		25	35	ac		80	120	block		20	20	light		3	5	block3		30	30	balance3		30	30	allskills		1	1	abs-fire%		5	20	abs-cold%		5	20	abs-ltng%		5	20	red-dmg		5	15					0
Stonewall	0	1		1	1	80	73	yts	Body Shield	3		13	45000								tinkerflag2		25	35	ac		200	300	block		40	40	block3		60	60	indestruct		1	1	skilltab	11	2	3	str		15	20	aura	Defiance	7	7																	0
glov																																																																					0
Leather of Luck	0	1		1	1	7	5	lgl	Gloves	1		6	10000								tinkerflag2		25	35	att%			100	mag%		50	150	gold%		50	150																																	0
Hand of Grog	0	1		1	1	12	9	vgl	Heavy Gloves	1		7	15000								tinkerflag2		25	35	balance1		10	10	mana		10	20	hp		15	30	swing2		20	20	str		10	15	sock		1	1																					0
Gloves of Firebrand	0	1		1	1	20	15	mgl	Bracers	1		8	20000								tinkerflag2		25	35	res-fire-max		5	15	res-fire		30	60	fire-min		5	15	dmg-fire/lvl	16			hit-skill	Molten Boulder	30	4	fire-max		15	30	swing2		10	10																	0
Darkflight Hand	0	1		1	1	31	23	tgl	Light Gauntlets	1		9	25000								tinkerflag2		25	35	magicarrow		5	5	att%		15	30	half-freeze		1	1	dmg-cold	150	10	15	swing2		20	20	dmg-cold/lvl	20			skilltab	0	1	2																	0
Heartrand's Gaunts	0	1		1	1	39	29	hgl	Gauntlets	1		9	25000								tinkerflag2		25	35	ac		40	40	dmg-max		5	25	red-dmg		2	4	res-pois		50	50	hp		30	60	deadly		20	40	dmg-min		5	25																	0
Fireheart's Hand	0	1		1	1	40	29	irg	Iron Guards	1		10	30000								tinkerflag2		25	35	fireskill		1	1	dmg-fire		15	35	abs-fire%		5	15	pierce-fire		10	15	cast2		20	20	mana%		25	25																					0
Hands of the Assassin	0	1		1	1	37	29	xlg	Demonhide Gloves	2		9	25000								tinkerflag2		25	35	stamdrain		50	100	deadly		50	100	dmg-pois	200	64	96	dmg-pois/lvl	40			crush		10	40	ass		1	1	sock	1	1	1																	0
Gloves of Nor Tiraj	0	1		1	1	39	32	xvg	Sharkskin Gloves	2		9	25000								tinkerflag2		25	35	res-all		15	15	cast3		20	20	swing2		20	20	red-mag		3	6	mana-kill		3	6	ac		15	30	att-skill	Poison Nova	10	10																	0
Shiva's Touch	0	1		1	1	44	36	xmg	Heavy Bracers	2		10	30000								tinkerflag2		25	35	res-cold		25	75	res-cold-max		20	20	att%		15	30	dmg-cold/lvl	16			hit-skill	Glacial Spike	20	10	cold-len		400	800	cold-min		10	20	cold-max		20	80	swing1		10	10									0
Runefusion	0	1		1	1	50	42	xtg	Battle Guantlets	2		11	35000								tinkerflag2		25	35	allskills		1	1	skilltab	3	1	1	skilltab	8	1	1	skilltab	17	1	1	skilltab	18	1	1	res-all		10	10	regen-mana		20	40	hp		30	60	sock		1	1									0
Suffocation of Indifference	0	1		1	1	55	47	xhg	War Gauntlets	2		11	35000								tinkerflag2		25	35	lifesteal		5	8	regen		-5	-5	openwounds		25	25	slow		25	50	dmg/lvl	6			ac%		80	140	str/lvl	3																			0
Lockheart's Grip	0	1		1	1	56	55	xig	Imperial Guards	2		11	35000								tinkerflag2		25	35	ac		12	12	swing2		30	30	dmg-ac		-25	-25	dmg-min		15	30	ac%		100	200	red-dmg%		5	10	str		10	10																	0
Gloves of the Dark Mage	0	1		1	1	76	58	ylg	Spellcaster Gloves	3		13	45000								tinkerflag2		25	35	ac		140	170	red-mag		10	20	allskills		1	1	mana		100	100	ac-miss		200	200	cast1		30	30	res-pois/lvl	6																			0
The Hands of Atlas	0	1		1	1	77	60	yvg	Viper Hands	3		13	45000								tinkerflag2		25	35	str		50	50	crush		40	40	ac%		60	110	res-all		15	25	dmg/lvl	4			hit-skill	Weaken	5	10																					0
Death's Grip	0	1		1	1	83	62	ymg	Sepulcher Gloves	3		13	45000								tinkerflag2		25	35	freeze		2	2	dmg-cold	500	25	90	lifesteal		12	24	mana-kill		8	12	ignore-ac		1	1	noheal		1	1	dmg-cold/lvl	48			swing2		30	30	res-cold		75	75	regen		15	20					0
Iron Fist	0	1		1	1	74	65	ytg	Gladiator Bracers	3		13	45000								tinkerflag2		25	35	ac%		40	60	ac		100	120	red-dmg%		10	15	swing1		20	20	cast1		20	20	heal-kill		12	16	allskills		1	1																	0
Herculean Grip	0	1		1	1	79	68	yhg	Titan Bracers	3		13	45000								tinkerflag2		25	35	str		30	40	crush		15	15	deadly		25	25	vit		30	40	ac%		40	80	swing3		40	40	hit-skill	Static Field	8	11																	0
Greiz's Legion	0	1		1	1	80	73	yig	Royal Guards	3		13	45000								tinkerflag2		25	35	att%		20	40	block		15	15	balance1		10	10	aura	Resist Fire	2	2	ac%		150	200	hp/lvl	4			mana/lvl	4																			0
boot																																																																					0
Boots of Firewalk	0	1		1	1	7	5	lbt	Leather Boots	1		6	10000								tinkerflag2		25	35	abs-fire		5	15	res-fire		20	60	hp		15	30	skill	Blaze	1	4	ac		4	8	move1		5	10																					0
Icelander's Wear	0	1		1	1	12	9	vbt	Heavy Boots	1		7	15000								tinkerflag2		25	35	res-cold		30	60	res-cold-max		5	15	half-freeze		1	1	hp		10	30	ac/lvl	8			res-cold/lvl	8			swing1		10	10																	0
Orcish Walkgarb	0	1		1	1	20	15	mbt	Chain Boots	1		8	20000								tinkerflag2		25	35	deadly		10	30	move2		20	20	dex		10	10	str		10	10	ac-hth		25	75	str/lvl	2			res-ltng		30	30																	0
Vindalay's Sole	0	1		1	1	30	22	tbt	Light Plate Boots	1		9	25000								tinkerflag2		25	35	stamdrain		30	60	cast3		20	30	move2		10	30	red-mag		2	4	gold%		30	60	red-dmg		3	6	res-pois		20	30																	0
Lightmaster's Walk	0	1		1	1	39	29	hbt	Greaves	1		9	25000								tinkerflag2		25	35	ac		10	10	move3		30	30	regen-stam		30	60	res-all		10	20	dex		10	20	str		10	20	ac/lvl	8																			0
Zhoul's Slippers	0	1		1	1	31	23	dbt	Dimensional Boots	1		9	25000								tinkerflag2		25	35	red-dmg		4	8	red-mag		3	6	move2		10	30	enr		5	15	manasteal		4	7	nec		1	1	ass		1	1																	0
Demonspeed	0	1		1	1	37	29	xlb	Demonhide Boots	2		9	25000								tinkerflag2		25	35	red-mag		4	8	move3		30	30	balance3		30	30	ac		10	30	sock		1	1	gethit-skill	Confuse	8	12	res-fire/lvl	4																			0
Flickerheel	0	1		1	1	40	32	xvb	Sharkskin Boots	2		10	30000								tinkerflag2		25	35	ac-miss		150	250	dex		30	30	nofreeze		1	1	move2		25	25	dmg-ltng/lvl	16			gethit-skill	Charged Bolt	20	8	pierce-ltng		5	15																	0
Chillcobble	0	1		1	1	44	36	xmb	Mesh Boots	2		10	30000								tinkerflag2		25	35	res-cold		30	70	res-cold-max		10	10	freeze		1	3	mana		40	40	dmg-cold/lvl	16			gethit-skill	Frost Nova	20	8	dmg-cold	200	10	30	pierce-cold		5	15	move2		15	15									0
Boots of the Valiant	0	1		1	1	50	42	xtb	Battle Boots	2		11	35000								tinkerflag2		25	35	ac%		50	150	stamdrain		50	50	deadly/lvl	4			crush/lvl	2			move1		30	30	ac-hth		150	250	swing2		25	25	str		10	20													0
Haste of Athulua	0	1		1	1	55	47	xhb	War Boots	2		11	35000								tinkerflag2		25	35	res-ltng		50	50	ignore-ac		1	1	move3		40	40	balance1		20	20	dex		10	20	light		1	7	skill	Fanaticism	1	3	skill	Frenzy	1	3	skill	Quickness	1	3	res-ltng/lvl	4							0
Wren's Reinforced Tech Boots	0	1		1	1	61	53	xbt	Mystile Boots	2		12	40000								tinkerflag2		25	35	ac%		50	100	move3		25	25	res-all		15	15	str/lvl	2			vit/lvl	2			mana-kill		3	6	skill	Leap	5	5	gethit-skill	Tornado	20	13													0
Heart of the Moon	0	1		1	1	69	67	ylb	Rogue Boots	3		12	40000								tinkerflag2		25	35	ac		40	60	all-stats		10	15	dex		3	6	move1		40	40	regen		6	10	aura	Prayer	5	5																					0
Boots of the Serpent	0	1		1	1	70	71	yvb	Viper Boots	3		13	45000								tinkerflag2		25	35	res-ltng		50	50	res-pois		50	50	res-cold		50	50	oskill	Charge	14	14	hit-skill	Bone Spear	10	22	deadly		30	30	move2		30	30	dmg-mag		300	300													0
Boots of Aether	0	1		1	1	71	62	ymb	Sepulcher Boots	3		13	45000								tinkerflag2		25	35	ac%		45	75	hp		40	70	dex/lvl	6			move2		40	40	regen		15	25	regen-mana		60	60	oskill	Dodge	1	3	ama		1	1													0
Hermes' Gift	0	1		1	1	73	70	ytb	Plated Boots	3		13	45000								tinkerflag2		25	35	aura	Vigor	3	6	ac		30	50	dex		25	25	move1		25	25	skilltab	1	1	1	skilltab	5	1	1	skilltab	6	1	1	skilltab	11	1	1	skilltab	12	1	1	skilltab	15	1	1	skilltab	19	1	1	0
The Heel of Blood	0	1		1	1	77	68	yhb	Gladiator Boots	3		13	45000								tinkerflag2		25	35	rip		1	1	dmg%		100	100	crush		25	25	openwounds		25	25	str		15	20	lifesteal		8	12	vit		15	20	charged	Life Tap	7	20													0
Spirits of the Dead	0	1		1	1	81	73	ybt	Spirit Boots	3		13	45000								tinkerflag2		25	35	move2		30	30	hp/lvl	4			mana/lvl	4			allskills		1	1	manasteal		7	7	balance1		15	15	ease		-75	-75	skill	Golem Mastery	2	2	skill	Valkyrie	2	2	skill	Shadow Master	2	2					0
belt																																																																					0
Imperial Sash	0	1		1	1	10	7	lbl	Sash	1		7	15000								tinkerflag2		25	35	res-all		10	10	mana		10	20	hp		10	20	str		6	12	mana/lvl	12			hp/lvl	12																							0
Raimen's Belt of Fear	0	1		1	1	16	12	vbl	Light Belt	1		7	15000								tinkerflag2		25	35	ac		18	18	oskill	Terror	3	7	thorns		20	40	red-dmg%		5	10	res-pois		15	30	str/lvl	2			ac/lvl	12			skill	Howl	3	6	skill	Terror	3	6									0
Glowharness	0	1		1	1	27	20	mbl	Belt	1		8	20000								tinkerflag2		25	35	cast3		30	30	hp%		15	15	res-all		20	20	mana		10	30	hp		10	30	ltng-min		1	4	dmg-ltng/lvl	48			gethit-skill	Lightning	20	11	ltng-max		16	32									0
Blustone's Belt	0	1		1	1	36	27	tbl	Heavy Belt	1		9	25000								tinkerflag2		25	35	ac		15	45	nofreeze		1	1	res-cold		40	40	str		15	25	dmg-cold	200	10	20	dmg-cold/lvl	8			gethit-skill	Frost Nova	40	5																	0
Harness of the Gods	0	1		1	1	39	29	hbl	Plated Belt	1		9	25000								tinkerflag2		25	35	ac		30	60	allskills		1	1	red-dmg		4	8	dmg-cold		5	25	dex		10	20	res-all		15	20	str		10	20	cold-len		50	250													0
Goldark's Strap	0	1		1	1	32	25	msb	Muscle Belt	1		9	25000								tinkerflag2		25	35	gold%		100	100	indestruct		1	1	str		10	30	sock		2	2	gold%/lvl	16			ac/lvl	8																							0
Smiles of Fortune	0	1		1	1	1	29	zlb	Demonhide Sash	2		9	25000								tinkerflag2		25	35	deadly		5	25	crush		5	25	openwounds		5	25	gold%		20	200	mag%		20	200	swing1		5	25	lifesteal		1	6	manasteal		1	6													0
Rumour of Pain	0	1		1	1	39	32	zvb	Sharkskin Belt	2		9	25000								tinkerflag2		25	35	allskills		1	1	ac%		100	150	balance2		10	30	dmg-min		5	15	pierce-fire		5	15	pierce-ltng		5	15	pierce-cold		5	15	pierce-pois		5	15	mana/lvl	2											0
Strap of Cythys	0	1		1	1	45	36	zmb	Mesh Belt	2		10	30000								tinkerflag2		25	35	ac		25	75	dmg-pois	150	256	512	noheal		1	1	res-pois		22	88	gethit-skill	Poison Nova	30	10	ac/lvl	9			hit-skill	Poison Mastery	5	4	res-all		15	15													0
